-3.9830,3.6950,0.0960,-0.3330,-1.0100,0.1690,-0.1080,1.6740,0.2620,-0.2310,7.0000
-3.6610,1.2920,-0.4330,0.3400,0.0980,0.3630,0.2460,0.9110,-0.4150,-0.5070,10.0000
-3.5430,0.6240,0.6740,1.4130,0.6530,-0.4450,-0.8030,-0.2560,-0.6500,0.4230,1.0000
-1.9330,0.7280,-1.0150,0.2700,0.1990,0.7800,0.1920,0.7060,-0.4460,-0.5950,2.0000
-2.8170,1.2680,-1.1270,0.7070,0.3990,0.4060,0.2890,0.3190,-0.6910,-0.3790,2.0000
-5.1050,1.9680,1.1400,1.7190,-0.4430,-0.4320,-0.9690,-0.1730,0.5510,0.1760,0.0000
-3.2650,1.9330,-0.3160,0.6020,0.4380,0.3360,0.0480,0.1340,-0.1600,-0.9910,10.0000
-3.6640,1.1190,-0.4590,0.4820,0.0820,0.2210,0.1850,0.8610,-0.2370,-0.4130,10.0000
-2.2820,0.6730,-0.7980,1.2860,0.3080,0.0100,-0.4110,-0.6100,-0.2660,0.5840,2.0000
-2.4830,0.8100,0.1850,0.2840,-0.9170,0.7300,-0.1110,0.6130,0.3730,0.1840,10.0000
-2.5120,2.8260,-0.1710,-0.3850,-1.4950,0.3810,0.0670,0.8990,-0.9020,-0.4120,4.0000
-1.6560,-0.4960,-1.7190,0.3630,-0.0020,1.6370,0.5350,1.3190,-0.0120,-0.4900,0.0000
-4.2160,3.6380,0.1920,-0.0230,-1.2310,-0.3200,0.1280,1.0300,0.0610,-0.1790,7.0000
-2.1550,2.0270,-0.3930,1.3540,-1.0450,0.6460,-0.2460,1.2790,-0.3960,0.1770,5.0000
-3.7810,-0.0110,0.1020,1.1150,1.0360,0.6510,0.6150,-1.0820,-1.2720,0.0500,0.0000
-3.0010,2.2630,-1.1780,-0.1160,-0.9220,0.5360,1.2860,-0.5060,-0.5660,-0.1020,4.0000
-2.3950,1.9290,-1.4960,0.3720,0.0650,0.0090,0.1490,0.8130,-0.4840,-0.6720,3.0000
-4.8050,3.2280,-0.5010,0.6020,-0.5320,0.7450,0.0900,0.4450,0.7560,-0.4200,9.0000
-3.8240,1.8320,1.0930,1.0240,-1.0900,0.5600,-0.3360,0.2990,0.1260,1.0050,8.0000
-2.7240,2.0670,-1.1420,0.9230,-1.1570,1.1700,-0.2760,0.1720,-0.0080,-0.6490,4.0000
-3.8930,3.6900,0.0790,-0.1510,-1.0930,-0.5180,0.1980,1.5830,-0.2570,-0.1690,7.0000
-3.9050,3.1470,-1.2590,0.3040,-0.2160,1.0550,0.5780,0.3530,-0.5170,-0.8710,8.0000
-3.7400,1.8320,-1.3840,1.5870,0.0490,1.6420,-0.5160,0.7070,-0.1690,-0.5220,9.0000
-3.6930,3.0670,-0.2730,1.6190,-1.9050,0.0450,0.0060,1.3470,0.3460,0.3600,7.0000
-3.0030,1.1630,-0.4500,0.3280,0.0970,0.5740,0.4270,-0.0170,-1.1460,-0.0600,5.0000
-1.5660,0.9300,-0.1810,-0.1550,-0.1640,-0.2770,0.1440,-0.0470,-0.6940,0.2820,3.0000
-3.6610,3.2660,-0.1170,-0.2370,-0.7550,0.0920,0.6860,0.3810,-0.5800,-0.6870,6.0000
-3.0290,1.7470,-0.8990,0.6740,-1.0460,0.5580,0.2040,-0.1550,-0.2370,0.6550,3.0000
-2.8520,-0.8050,-0.3130,1.5650,0.6880,1.4670,-0.6640,-0.9160,-0.2790,0.4890,0.0000
-4.1880,2.6370,0.5020,0.5520,0.7350,0.3950,-0.0260,0.8030,-0.8740,-0.9130,9.0000
-3.3250,2.1410,-0.5280,0.4390,0.0990,0.3210,0.2170,0.1350,-1.3880,0.7460,10.0000
-4.7180,3.2810,-0.2030,0.6510,-0.8830,1.4130,-0.6630,0.5830,0.2370,-0.3070,9.0000
-3.0120,1.6280,-0.8340,0.9750,-0.2990,0.9260,0.1740,0.8360,-0.2390,-1.1440,10.0000
-4.0760,3.3360,-0.6880,0.6770,-1.4720,0.4610,0.6820,0.7240,0.7170,-0.4090,7.0000
-2.1050,1.0350,-1.7050,0.2310,-0.5580,1.5540,-0.6490,0.7100,-0.8550,-0.1510,2.0000
-2.7480,3.2170,-0.9760,-0.2130,-0.7920,0.7710,-0.0320,0.2230,0.0430,-0.8250,4.0000
-3.4400,3.2030,-0.6980,-0.8600,-0.5420,1.5030,0.9220,0.4670,-0.1830,-0.9190,7.0000
-3.6200,1.0660,0.1580,1.3930,0.8790,1.0200,-0.0900,0.0870,-1.3330,0.5850,1.0000
